index;client;parrent;client_bin/tin;type;value;del_mark
1805;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 75;Актобе 12 мкр., д. 21Д, 1А (ТД Сити центр );Нет
1806;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 76;Алматы, 11-й микрорайон, дом № 26;Нет
1807;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 77;г.Тараз мкр.Алатау дом 11А;Нет
1808;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 78;Алматинская область, Талгарский район, с. Панфилово, Кульджинский тракт 88;Нет
1809;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 79;г. Каскелен,по адресу пер. Абая, 20;Нет
1810;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 80;Восточно-Казахстанская область, Уланский район, п. Касыма Кайсенова, Абая, дом № 3;Нет
1811;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 81;г.Нур-Султан, район Есиль, проспект Мәңгілік Ел, 52а;Нет
1812;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 82;г.Сарань, Карагандинская обл. Проспект Ленина, 12;Нет
1813;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 83;Г,Караганда  Учетный квартал 134, со 921 (Глобал сити);Нет
1814;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 84;Нур-султан по адресу  пр. Кабанбай батыра 21;Нет
1815;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 85;г.Нурсултан , Шоссе Алаш 23\1 ТЦ Магнум;Нет
1816;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 86;г.Тараз, ул. Рыскулова, 5У ТД Аватария. Аптека Europharma №232.;Нет
1817;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 87;г. Нур-Султан,  ул. Сарайшык, 5, ВП-18,аптека №190;Нет
1818;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 88;г. Караганда. Абдирова 19;Нет
1819;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 89;г.Кокшетау,по адресу Абылай-хана 28;Нет
1820;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 90;г.Астана ул. Д.Кунаева, 14/2, ВП-4 Аптека Europharma №55.;Нет
1821;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 91;г.Астана Сыганак 33;Нет
1822;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 92;г. Астана, трасса Астана-Караганда, 45 ТЦ Магнум;Нет
1823;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 93;г. Нур-Султан, Есильский район, ул. Сауран 3/1;Нет
1824;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 94;г.Талдыкорган ул.Кабанбай батыра, 62;Нет
1825;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Факт. адрес 95;г. Усть Каменогорск ул. Жибек Жолы 1;Нет
1826;"F17 ТОО ""KD service"" (Еврофарма, Акниет груп, Akniet group)";Исключаемые из обмена;2,0064E+11;Evernote;evernote:///view/108115222/s588/8900dd03-e27f-4716-a883-e5d3abfa0882/33c4b752-89ce-4525-91b9-c846634ca625;Нет
1827;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 16;Астана, Илияса Жансугурова, дом № 8, корпус 1;Нет
1828;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 17;г. Костанай, ул. Гагарина, дом № 193;Нет
1829;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 18;Павлодар, Камзина 67/1 Батыр молл магазин Sinsay;Нет
1830;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 19;Караганда, Store Kazakhstan SI Karaganda Grand Store (6412391) Бухар Жырау, 86;Нет
1831;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 20;;Нет
1832;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 21;"Усть-каменогорск, ""ADK River Mall""";Нет
1833;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 23;Актобе просп. Санкибай Батыра, 14Д;Нет
1834;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 27;Магазин House Апорт;Нет
1835;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 28;Алматы, ТЦ Спутник, ул. Бауыржана Момыш-Улы 8а, Магазин Sinsay;Нет
1836;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 30;Караганда, Учетный квартал, дом № 134;Нет
1837;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 31;г. Экибастуз ТУ Сити Молл;Нет
1838;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 36;микрорайон Мамыр-1, 8А;Нет
1839;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес 38;ш. Алаш, 15, Нур-Султан;Нет
1840;"F99 ТОО ""IT-federation"" ( федерейшн, федерейшен)";;;Факт. адрес;город Алматы, Бостандыкский район,Проспект Гагарина, дом 258В;Нет
1841;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 84;Магазин HOUSE, Магазин CROPP - г Алматы, ул.Ташкентский тракт 17К;Нет
1842;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 85;"Офис ""LPP Kazakhstan"" - г.Алматы, пр.Достык 192/2";Нет
1843;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 86;Тараз, Магазин Sinsay, улица Толе би, дом № 27;Нет
1844;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 87;Нурсултан (Астана), Абу Даби Плаза;Нет
1845;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 90;Алматы, проспект Райымбека, Молл Апорт;Нет
1846;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 91;"Усть-каменогорск, ""ADK River Mall""";Нет
1847;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 59;Алматы, ул. Сатпаева 90/5, магазин Sinsay;Нет
1848;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 60;Магазин Sinsay Алматы Апорт;Нет
1849;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 61;Алматы, SINSAY, ТЦ Спутник;Нет
1850;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 62;Алмата, микрорайон Мамыр-1 , 8А ТЦ Спутник;Нет
1851;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 63;Ташкентский тракт, 17К, Алматы магазин Mohito;Нет
1852;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 64;ул. Сыганак 16/5, Нур-Султан;Нет
1853;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 65;Нур-Султан, ул. Илияса Жансугурова, 8, корп. 1 Магазин SinSay;Нет
1854;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 66;"ш. Алаш, 15, Нур-Султан, ТЦ ""Central Market"" Казахстан";Нет
1855;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 67;Almaty_ADK_River_Mall;Нет
1856;"F99 ТОО ""LPP Kazakhstan""  (ЛПП Казахстан)";;;Факт. адрес 1;Магазин RESERVED - г.Алматы, мкр.Самал - 2 дом 111;Нет
1857;Ickep Медиа;Temp22;1,2064E+11;;;Да
1858;Incom ;Temp22;;;;Да
1859;Intant  ( интант ) ;Temp22;;;;Да
1860;I-теч;Temp22;;;;Да
1861;Mas Agro (мас агро);Temp22;;Телефон контрагента 2;+7 (727) 2721061;Да
1862;Mas Agro (мас агро);Temp22;;Рабочий е-mail;info@mas-agro.com;Да
1863;Mas Agro (мас агро);Temp22;;Сайт;mas-agro.com;Да
1864;Maxic Network;Temp22;;;;Да
1865;Modern Comp;Temp22;;;;Да
1866;Moon (Мун);Temp22;;Рабочий телефон;+7 (727) 292-17-73;Да
1867;Moon (Мун);Temp22;;Факт. адрес;пр. Абая, 75  (между Масанчи и Байтурсынова);Да
1868;Munara;;;Телефон контрагента 2;+1 (757) 9075215;Да
1869;N Мегасмета;;;Факт. адрес;Шевченко 165Б 8 этаж 811 кабинет;Да
1870;N ТОО CeZar Group;;;Факт. адрес;проспект Суюнбая, 37, склад 6.;Да
1871;N02 Qazqir(alioth.kz);;;;;Нет
1872;P  Казахтелеком Алматытелеком (almaty telecom almatytelecom, kazaktelecom казактелеком);;;Рабочий телефон;9160;Нет
1873;P  Казахтелеком Алматытелеком (almaty telecom almatytelecom, kazaktelecom казактелеком);;;Телефон контрагента 2;+7 (727) 2975306;Нет
1874;P  Казахтелеком Алматытелеком (almaty telecom almatytelecom, kazaktelecom казактелеком);;;Рабочий е-mail;l.reznikova@telecom.kz;Нет
1875;P  Казахтелеком Алматытелеком (almaty telecom almatytelecom, kazaktelecom казактелеком);;;Факт. адрес;Панфилова 72\74;Нет
1876;P  Казахтелеком Алматытелеком (almaty telecom almatytelecom, kazaktelecom казактелеком);;;Сайт;http://www.almatytelecom.kz/;Нет
1877;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Телефон контрагента 2;+7 (727) 2683235;Нет
1878;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Телефон контрагента 3;+7 (778) 0066000;Нет
1879;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Телефон контрагента 4;+7 (701) 7242111;Нет
1880;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Рабочий телефон;+7 (727) 2683486;Нет
1881;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Рабочий е-mail;sale@plaza.kz;Нет
1882;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Факт. адрес 2;г. Алматы, ул. Гайдара, д.154 уг. ул. Виноградова;Нет
1883;"P ""Computer plaza"" (Компьютер плаза, комп плаза, сервис центр.) ";;;Факт. адрес;Алматы, Ислама Каримова, дом № 154;Нет
1884;"P ""Алматы Сервис"" Almaty Service";;;Телефон контрагента 2;+7 (727) 2736133;Нет
1885;"P ""Алматы Сервис"" Almaty Service";;;Рабочий телефон;+7 (707) 1130025;Нет
1886;"P ""Алматы Сервис"" Almaty Service";;;Факт. адрес;ул. Пушкина, 13 уг. ул. Маметовой;Нет
1887;"P ""Алматы Сервис"" Almaty Service";;;Сайт;http://almaty-service.kz/;Нет
1888;P @SOFT;;;Факт. адрес;мкр.Айнабулак 2, дом №55, кв.37;Нет
1889;P 2Day Telecom (2 дэй дай телеком, Beeline, Билайн, Кар-Тел);;;Рабочий телефон;+7 (727) 3500139;Нет
1890;P 2Day Telecom (2 дэй дай телеком, Beeline, Билайн, Кар-Тел);;;Факт. адрес 2;ул.Абая баумена;Нет
1891;P 2Day Telecom (2 дэй дай телеком, Beeline, Билайн, Кар-Тел);;;Юр. адрес;ул.Абая баумена;Нет
1892;P 3ТЕЧ (Агач);;;Рабочий телефон;8 (727) 378-38-18;Нет
1893;P 3ТЕЧ (Агач);;;Телефон контрагента 2;8 (727) 3783845;Нет
1894;P 3ТЕЧ (Агач);;;Рабочий е-mail;'Elke.e@3tech.kz';Нет
1895;P 3ТЕЧ (Агач);;;Факт. адрес 2;Муканова 227, уг. ул. Богенбай батыра;Нет
1896;P 3ТЕЧ (Агач);;;Сайт;http://www.3tech.kz;Нет
1897;P Abdi (абди);;1,5054E+11;Телефон контрагента 2;+7 (727) 2333363;Нет
1898;P Abdi (абди);;1,5054E+11;Рабочий телефон;+7 (727) 2998799;Нет
1899;P Abdi (абди);;1,5054E+11;Факт. адрес;г. Алматы, пр. Сейфуллина, 465/191, уг. пр. Райымбека;Нет
1900;P Abdi (абди);;1,5054E+11;Сайт;http://abdi.kz;Нет
1901;P ABRIS (абрис);;;Рабочий телефон;+7 (727) 262-32-18/60/73;Нет
1902;P ABRIS (абрис);;;Рабочий е-mail;info@abris.kz;Нет
1903;P ABRIS (абрис);;;Факт. адрес 2;ул. Фурманова, 103, оф. 509, уг. ул. Айтеке би;Нет
1904;P ABRIS (абрис);;;Сайт;http://www.abris.kz;Нет
1905;P ABRIS (абрис);;;Evernote;evernote:///view/12931884/s117/4670c49d-3593-4137-9e09-35ea2d4bfe6f/4670c49d-3593-4137-9e09-35ea2d4bfe6f/http://;Нет
1906;P Advertka Group (Адвертка групп);;;Рабочий телефон;+7 (747) 2214772;Нет
1907;P Advertka Group (Адвертка групп);;;Факт. адрес;Маметова 67, оф.4. (между Сейфуллина и Дзержинского);Нет
1908;P Advertka Group (Адвертка групп);;;Сайт;http://advertka.kz/;Нет
1909;P AK Cent Microsistems акцент АК-цент;;;Рабочий телефон;+7 (727) 3832070;Нет
1910;P AK Cent Microsistems акцент АК-цент;;;Телефон контрагента 2;+7 (727) 3832055;Нет
1911;P AK Cent Microsistems акцент АК-цент;;;Адрес электронной почты контрагента для обмена электронными документами;sales@ak-cent.kz;Нет
1912;P AK Cent Microsistems акцент АК-цент;;;Факт. адрес 2;ул. Тюлькубасская 2;Нет
1913;P AK Cent Microsistems акцент АК-цент;;;Юр. адрес;ул. Тюлькубасская 2;Нет
1914;P AK Cent Microsistems акцент АК-цент;;;Сайт;https://ak-cent.kz/;Нет
1915;P AK Cent Microsistems акцент АК-цент;;;Evernote;http://www.ak-cent.kz/;Нет
1916;P ALEXEL (ИП Алексл);;;Телефон контрагента 2;+7 (727) 300-76-65;Нет
1917;P ALEXEL (ИП Алексл);;;Рабочий телефон;+7(727) 225-71-01;Нет
1918;P ALEXEL (ИП Алексл);;;Рабочий е-mail;info@alexel.kz;Нет
1919;P ALEXEL (ИП Алексл);;;Факт. адрес;РК  050026, г. Алматы, ул. Досмухамедова, 14;Нет
1920;P ALEXEL (ИП Алексл);;;Сайт;http://sales.alexel.kz/;Нет
1921;P Alma Distribution (Алма, Alma-D);;;Телефон контрагента 2;+7 (777) 215 30 26;Нет
1922;P Alma Distribution (Алма, Alma-D);;;Телефон контрагента 3;+7 (727) 317 65 26;Нет
1923;P Alma Distribution (Алма, Alma-D);;;Рабочий телефон;+7 (727) 2720809;Нет
1924;P Alma Distribution (Алма, Alma-D);;;Рабочий е-mail;info@alma-d.kz;Нет
1925;P Alma Distribution (Алма, Alma-D);;;Факт. адрес;ул.Фурманова 65, офис 526, 050004, Алматы, Казахстан;Нет
1926;P Alma Distribution (Алма, Alma-D);;;Факт. адрес 2;г.Алматы, ул. Сейфулина, 531, офис 806;Нет
1927;P Alma Distribution (Алма, Alma-D);;;Сайт;http://www.alma-d.kz;Нет
1928;P Alma Print (алма принт almaprint);;;Рабочий телефон;+7 (727) 2952732;Нет
1929;P Alma Print (алма принт almaprint);;;Телефон контрагента 2;+7 (727) 2920390;Нет
1930;P Alma Print (алма принт almaprint);;;Рабочий е-mail; info@aprint.kz;Нет
1931;P Alma Print (алма принт almaprint);;;Факт. адрес;г. Алматы, Досмухамедова 89, оф.2 ;Нет
1932;P Alma Print (алма принт almaprint);;;Сайт;http://www.aprint.kz;Нет
1933;P Almacom Trade;;;Телефон контрагента 3;+7 (727) 391-28-04;Нет
1934;P Almacom Trade;;;Рабочий телефон;+7 (727) 3287657;Нет
1935;P Almacom Trade;;;Телефон контрагента 2;+7 (727) 3177140;Нет
1936;P Almacom Trade;;;Адрес электронной почты контрагента для обмена электронными документами;alex@almakom.kz;Нет
1937;P Almacom Trade;;;Факт. адрес 2;Алматы, ул. Caина, 10 (уг. ул. Толе би);Нет
1938;P Almacom Trade;;;Evernote;http://almakom.kz/;Нет
1939;P Almacom Trade;;;Сайт;info@almakom.kz;Нет
1940;P Alser Computers Гулсер Компьютерс Алсер;;;Рабочий телефон;+7 (727) 330-31-34;Нет
1941;P Alser Computers Гулсер Компьютерс Алсер;;;Телефон контрагента 2;+7 (727) 330-31-33;Нет
1942;P Alser Computers Гулсер Компьютерс Алсер;;;Рабочий е-mail; shop@alser.kz;Нет
1943;P Alser Computers Гулсер Компьютерс Алсер;;;Факт. адрес;ул. Жамбыла 163;Нет
1944;P Alser Computers Гулсер Компьютерс Алсер;;;Сайт; http://www.alser.kz;Нет
1945;P ALSI Сервис (алси);;;Телефон контрагента 2;+7 (727) 2971160;Нет
1946;P ALSI Сервис (алси);;;Рабочий е-mail;Polina.Frantseva@alsi.com;Нет
1947;P ALSI Сервис (алси);;;Факт. адрес;ул. Муканова, 245, уг. пр. Абая;Нет
1948;P ALSI Сервис (алси);;;Сайт;alsi.kz;Нет
1949;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Телефон контрагента 2;;Нет
1950;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Телефон контрагента 3;+7 (727) 2790099;Нет
1951;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Телефон контрагента 5;+7 (727) 279 39 99;Нет
1952;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Телефон контрагента 4;+7 (727) 292-39-09;Нет
1953;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Рабочий телефон;+7 (727) 300 0 300;Нет
1954;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Рабочий е-mail;info@al-style.kz;Нет
1955;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Факт. адрес;Республика Казахстан, г. Алматы, ул. Панфилова 12;Нет
1956;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Факт. адрес 2;ул. Байтурсынова 78/1 ч.1;Нет
1957;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Сайт;https://al-style.kz/;Нет
1958;P Al-Style Computers (AlStyle, Алстайл, Ал-Стайл, Vender, Вендер);;;Evernote;al-style.kz;Нет
1959;P Altecom (Ресанта);;;Рабочий телефон;+7 (727) 3850397;Нет
1960;P Altecom (Ресанта);;;Факт. адрес;Илийский тракт 37;Нет
1961;P Altecom (Ресанта);;;Evernote;http://www.altecom.info/;Нет
1962;P ALTEL;;;Телефон контрагента 2;+7 (727) 2 584 777;Нет
1963;P ALTEL;;;Телефон контрагента 3;8 800 080 00 11;Нет
1964;P ALTEL;;;Рабочий телефон;+7 (727) 3299333;Нет
1965;P ALTEL;;;Рабочий е-mail;backofficecc@altel.kz;Нет
1966;P ALTEL;;;Факт. адрес 2;мкр. Орбита 2, д.6 (ул.Навои, ниже пр. Аль-Фараби).;Нет
1967;P ALTEL;;;Юр. адрес;мкр. Орбита 2, д.6 (ул.Навои, ниже пр. Аль-Фараби).;Нет
1968;P ALTEL;;;Evernote;altel.kz;Нет
1969;P ALTEL;;;Сайт;http://altel4g.kz;Нет
1970;P amoCRM (Амо СРМ);;;Рабочий телефон;+7 (495) 7717364;Нет
1971;P amoCRM (Амо СРМ);;;Рабочий е-mail;polbah@team.amocrm.com;Нет
1972;P Artson Build Invest (артсон, artson, Караганда партнёры ITшники);;;Телефон контрагента 2;+7 (7212) 505836;Нет
1973;P Artson Build Invest (артсон, artson, Караганда партнёры ITшники);;;Телефон контрагента 3;+7 (707) 3014014;Нет
1974;P Artson Build Invest (артсон, artson, Караганда партнёры ITшники);;;Рабочий телефон;+7 (7212) 445470;Нет
1975;P Artson Build Invest (артсон, artson, Караганда партнёры ITшники);;;Рабочий е-mail;sales@abi.kz;Нет
1976;P Artson Build Invest (артсон, artson, Караганда партнёры ITшники);;;Факт. адрес;КАЗАХСТАН, г. Караганда, ул. Кривогуза, 5, оф. 111;Нет
1977;P Artson Build Invest (артсон, artson, Караганда партнёры ITшники);;;Evernote;http://www.abi.kz/index.php/ru/;Нет
1978;P ASBIS (Асбис);;;Телефон контрагента 3;+7 (727) 3904641;Нет
1979;P ASBIS (Асбис);;;Рабочий телефон;+7 (727) 383-20-82;Нет
1980;P ASBIS (Асбис);;;Телефон контрагента 2;+7 (727) 383-52-25;Нет
1981;P ASBIS (Асбис);;;Рабочий е-mail;info@asbis.kz;Нет
1982;P ASBIS (Асбис);;;Адрес электронной почты контрагента для обмена электронными документами; info@asbis.kz;Нет
1983;P ASBIS (Асбис);;;Факт. адрес 2;050018 г. Алматы, Казахстан, ул. Тюлькубасская 2;Нет
1984;P ASBIS (Асбис);;;Evernote;http://www.asbis.kz;Нет
1985;P Ashat Cargo Trade ACT;;;Телефон контрагента 2;+7 (727) 3293212;Нет
1986;P Ashat Cargo Trade ACT;;;Рабочий телефон;+7 (727) 3284587;Нет
1987;P Ashat Cargo Trade ACT;;;Факт. адрес;ул.Ауэзова 2 (на територии Алматы тенир);Нет
1988;P Ashat Cargo Trade ACT;;;Сайт;http://www.actrade.kz;Нет
1989;P Asia-Soft (азия-софт,);;;Телефон контрагента 2;+7 (727) 3006265;Нет
1990;P Asia-Soft (азия-софт,);;;Рабочий телефон;+7 (727) 3006272;Нет
1991;P Asia-Soft (азия-софт,);;;Факт. адрес;ул. Ходжанова 61 д.1,2;Нет
1992;P Asia-Soft (азия-софт,);;;Сайт;http://www.asia-soft.kz/;Нет
1993;P ASTEL ( Астел);;;Факс контрагента;+7(727)3120001;Нет
1994;P ASTEL ( Астел);;;Телефон контрагента 2;+7(727)3120000;Нет
1995;P ASTEL ( Астел);;;Рабочий телефон;+7(727)2379013;Нет
1996;P ASTEL ( Астел);;;Факт. адрес;г.Алматы, ул. Маметовой, 67Б, 3-й этаж;Нет
1997;P ASTEL ( Астел);;;Evernote;http://www.astel.kz/;Нет
1998;P Astra (Астра);;9,2034E+11;Рабочий телефон;+7 (727) 226-72-93;Нет
1999;P Astra (Астра);;9,2034E+11;Телефон контрагента 2;+7 (727) 267-60-83;Нет
2000;P Astra (Астра);;9,2034E+11;Телефон контрагента 3;+7 (727) 2676507;Нет
2001;P Astra (Астра);;9,2034E+11;Адрес электронной почты контрагента для обмена электронными документами;astra-a@inbox.ru;Нет
2002;P Astra (Астра);;9,2034E+11;Факт. адрес 2;Алматы, ул. Богенбай батыра, 150, этаж 5 (уг. ул. Мауленова);Нет
2003;P Astra (Астра);;9,2034E+11;Юр. адрес;Алматы, ул. Богенбай батыра, 150, этаж 5 (уг. ул. Мауленова);Нет
2004;P Astra (Астра);;9,2034E+11;Сайт;http://www.astraprint.kz;Нет
2005;P Astra (Астра);;9,2034E+11;Evernote;evernote:///view/12931884/s117/e02b5814-a856-44d2-a7c1-e33abf8b4c7d/e02b5814-a856-44d2-a7c1-e33abf8b4c7d/http://;Нет
2006;P Asus сервис центр(Dias, Диас, диас, асус);;;Телефон контрагента 2;+7 (727) 3783131;Нет
2007;P Asus сервис центр(Dias, Диас, диас, асус);;;Рабочий телефон;+7 (727) 3782578;Нет
2008;P Asus сервис центр(Dias, Диас, диас, асус);;;Факт. адрес;Казыбек би 167/80;Нет
2009;P Axis Rent (аксис рент);;71140008589;Телефон контрагента 2;+7 (727) 3922 477;Нет
2010;P Axis Rent (аксис рент);;71140008589;Рабочий телефон;+7 (727) 3921930;Нет
2011;P Axis Rent (аксис рент);;71140008589;Факт. адрес;Абая 52 В;Нет
2012;P Axis Rent (аксис рент);;71140008589;Сайт;http://www.axis-rent.kz/;Нет
2013;P Azerti prof (Азерти проф);;;Телефон контрагента 2;+7 (727) 22200091;Нет
2014;P Azerti prof (Азерти проф);;;Рабочий телефон;+7 (727) 3810392;Нет
2015;P Azerti prof (Азерти проф);;;Факт. адрес;ул. Каблукова, д.257;Нет
2016;P Azerti prof (Азерти проф);;;Evernote;http://www.azerti.kz/;Нет
2017;P BAS Com (,Бас Ком);;;Рабочий телефон;+7 (727) 379-26-12;Нет
2018;P BAS Com (,Бас Ком);;;Рабочий е-mail;webshop@bas.com.kz;Нет
2019;P BAS Com (,Бас Ком);;;Факт. адрес 2;г. Алматы, ул Гагарина 33, уг. ул. Богенбай Батыра;Нет
2020;P BAS Com (,Бас Ком);;;Сайт;http://bas.com.kz;Нет
2021;P Be Smart (besmart бисмарт би смарт);;;Рабочий телефон;+7 (727) 356-33-82;Нет
2022;P Be Smart (besmart бисмарт би смарт);;;Рабочий е-mail;info@besmart.kz;Нет
2023;P Be Smart (besmart бисмарт би смарт);;;Факт. адрес;г. Алматы, пр. Абая, 10А, уг. ул. Фурманова, 3 этаж;Нет
2024;P Be Smart (besmart бисмарт би смарт);;;Сайт;http://besmart.kz/;Нет
2025;P Bella-Computers (Белла Компьютерс);;;Телефон контрагента 2;+7 (727) 2732858;Нет
2026;P Bella-Computers (Белла Компьютерс);;;Телефон контрагента 3;+7 (727) 317 96 26;Нет
2027;P Bella-Computers (Белла Компьютерс);;;Рабочий телефон;+7 (727) 273 10 54;Нет
2028;P Bella-Computers (Белла Компьютерс);;;Факт. адрес;г. Алматы, ул.Жибек Жолы 64, офис 321;Нет
2029;P Bella-Computers (Белла Компьютерс);;;Evernote;http://b-comp.kz.sklad.com/;Нет
2030;P Beom Company (беом);;1,0014E+11;Телефон контрагента 2;7702192;Нет
2031;P Beom Company (беом);;1,0014E+11;Рабочий телефон;+7 (727) 391-00-00;Нет
2032;P Beom Company (беом);;1,0014E+11;Рабочий е-mail;sales@beom.kz;Нет
2033;P Beom Company (беом);;1,0014E+11;Факт. адрес 2;Проспект Сейфуллина 467 (угол проспекта Райымбека) 1 этаж;Нет
2034;P Beom Company (беом);;1,0014E+11;Факт. адрес;Толеби д 282, к.33;Нет
2035;P Beom Company (беом);;1,0014E+11;Evernote;http://beom.kz/;Нет
2036;P BERSAR (Берсар);;;Телефон контрагента 2;+7 (727) 3790364;Нет
2037;P BERSAR (Берсар);;;Рабочий телефон;+7 (727) 3790362;Нет
2038;P BERSAR (Берсар);;;Факт. адрес 2;г. Алматы,, ул.Айтиева, дом № 22;Нет
2039;P Bilcom (Билком белком провайдер интернета);;;Рабочий телефон;+7 (727) 3573377;Нет
